,_id,category,commodity_transaction,country_or_area,quantity,quantity_footnotes,unit,year
131,5d5844fb9d1a687cde48890f,nuclear_electricity,Electricity - total nuclear production,Canada,74892.0,,"Kilowatt-hours, million",2003
132,5d5844fb9d1a687cde488910,nuclear_electricity,Electricity - total nuclear production,Canada,75526.0,,"Kilowatt-hours, million",2002
133,5d5844fb9d1a687cde488911,nuclear_electricity,Electricity - total nuclear production,Canada,76695.0,,"Kilowatt-hours, million",2001
134,5d5844fb9d1a687cde488912,nuclear_electricity,Electricity - total nuclear production,Canada,72799.0,,"Kilowatt-hours, million",2000
135,5d5844fb9d1a687cde488913,nuclear_electricity,Electricity - total nuclear production,Canada,73491.0,,"Kilowatt-hours, million",1999
136,5d5844fb9d1a687cde488914,nuclear_electricity,Electricity - total nuclear production,Canada,71511.0,,"Kilowatt-hours, million",1998
137,5d5844fb9d1a687cde488915,nuclear_electricity,Electricity - total nuclear production,Canada,82528.0,,"Kilowatt-hours, million",1997
138,5d5844fb9d1a687cde488916,nuclear_electricity,Electricity - total nuclear production,Canada,92767.0,,"Kilowatt-hours, million",1996
139,5d5844fb9d1a687cde488917,nuclear_electricity,Electricity - total nuclear production,Canada,97844.0,,"Kilowatt-hours, million",1995
140,5d5844fb9d1a687cde488918,nuclear_electricity,Electricity - total nuclear production,Canada,107834.0,,"Kilowatt-hours, million",1994
141,5d5844fb9d1a687cde488919,nuclear_electricity,Electricity - total nuclear production,Canada,93937.0,,"Kilowatt-hours, million",1993
142,5d5844fb9d1a687cde48891a,nuclear_electricity,Electricity - total nuclear production,Canada,80582.0,,"Kilowatt-hours, million",1992
143,5d5844fb9d1a687cde48891b,nuclear_electricity,Electricity - total nuclear production,Canada,84930.0,,"Kilowatt-hours, million",1991
144,5d5844fb9d1a687cde48891c,nuclear_electricity,Electricity - total nuclear production,Canada,72967.0,,"Kilowatt-hours, million",1990
145,5d5844fb9d1a687cde48891d,nuclear_electricity,Electricity - total nuclear production,China,132538.0,,"Kilowatt-hours, million",2014
146,5d5844fb9d1a687cde48891e,nuclear_electricity,Electricity - total nuclear production,China,111613.0,,"Kilowatt-hours, million",2013
147,5d5844fb9d1a687cde48891f,nuclear_electricity,Electricity - total nuclear production,China,97394.0,,"Kilowatt-hours, million",2012
148,5d5844fb9d1a687cde488920,nuclear_electricity,Electricity - total nuclear production,China,86350.0,,"Kilowatt-hours, million",2011
149,5d5844fb9d1a687cde488921,nuclear_electricity,Electricity - total nuclear production,China,73880.0,,"Kilowatt-hours, million",2010
150,5d5844fb9d1a687cde488922,nuclear_electricity,Electricity - total nuclear production,China,70134.0,,"Kilowatt-hours, million",2009
151,5d5844fb9d1a687cde488923,nuclear_electricity,Electricity - total nuclear production,China,62130.0,,"Kilowatt-hours, million",2007
152,5d5844fb9d1a687cde488924,nuclear_electricity,Electricity - total nuclear production,China,68394.0,,"Kilowatt-hours, million",2008
153,5d5844fb9d1a687cde488925,nuclear_electricity,Electricity - total nuclear production,China,54843.0,,"Kilowatt-hours, million",2006
154,5d5844fb9d1a687cde488926,nuclear_electricity,Electricity - total nuclear production,China,53088.0,,"Kilowatt-hours, million",2005
155,5d5844fb9d1a687cde488927,nuclear_electricity,Electricity - total nuclear production,China,50469.0,,"Kilowatt-hours, million",2004
156,5d5844fb9d1a687cde488928,nuclear_electricity,Electricity - total nuclear production,China,43342.0,,"Kilowatt-hours, million",2003
157,5d5844fb9d1a687cde488929,nuclear_electricity,Electricity - total nuclear production,China,25127.0,,"Kilowatt-hours, million",2002
158,5d5844fb9d1a687cde48892a,nuclear_electricity,Electricity - total nuclear production,China,17472.0,,"Kilowatt-hours, million",2001
159,5d5844fb9d1a687cde48892b,nuclear_electricity,Electricity - total nuclear production,China,16737.0,,"Kilowatt-hours, million",2000
